Designator,Mid X,Mid Y,Rotation,Layer
R27,68.7325,-101.335,0.0,top
R28,68.7325,-106.225,0.0,top
R29,68.7325,-111.115,0.0,top
R3,150.3425,-106.795,0.0,top
R30,68.7325,-116.005,0.0,top
R31,68.7325,-120.895,0.0,top
R32,68.7325,-125.785,0.0,top
R33,68.7325,-130.675,0.0,top
R34,68.7325,-135.565,0.0,top
R35,68.7325,-140.455,0.0,top
R36,77.4225,-91.555,0.0,top
R37,110.2125,-110.665,0.0,top
R38,110.2125,-113.615,0.0,top
R39,110.2125,-116.565,0.0,top
R4,150.3425,-103.785,0.0,top
R40,110.2125,-119.515,0.0,top
R41,110.2125,-122.465,0.0,top
R42,110.2125,-125.415,0.0,top
R43,110.2125,-128.365,0.0,top
R44,110.2125,-131.315,0.0,top
R45,110.2125,-134.265,0.0,top
R46,110.2125,-137.215,0.0,top
R47,114.9625,-110.665,0.0,top
R48,114.9625,-113.615,0.0,top
R49,114.9625,-116.565,0.0,top
R5,103.4925,-96.445,0.0,top
R50,121.8725,-97.895,0.0,top
R51,121.8725,-100.405,0.0,top
R52,121.8725,-102.915,0.0,top
R53,121.8725,-105.425,0.0,top
R54,121.8725,-107.935,0.0,top
R55,125.8825,-90.365,0.0,top
R56,77.4225,-96.445,0.0,top
R57,77.4225,-101.335,0.0,top
R58,77.4225,-106.225,0.0,top
R59,77.4225,-111.115,0.0,top
R6,103.4925,-101.335,0.0,top
R60,77.4225,-116.005,0.0,top
R61,77.4225,-120.895,0.0,top
R62,77.4225,-125.785,0.0,top
R63,77.4225,-130.675,0.0,top
R64,77.4225,-135.565,0.0,top
R65,77.4225,-140.455,0.0,top
R66,86.1125,-91.555,0.0,top
R67,86.1125,-96.445,0.0,top
R68,114.9625,-119.515,0.0,top
R69,114.9625,-122.465,0.0,top
R7,103.4925,-106.225,0.0,top
R70,114.9625,-125.415,0.0,top
R71,114.9625,-128.365,0.0,top
R72,114.9625,-131.315,0.0,top
R73,114.9625,-134.265,0.0,top
R74,114.9625,-137.215,0.0,top
R75,119.7125,-110.665,0.0,top
R76,119.7125,-113.615,0.0,top
R77,119.7125,-116.565,0.0,top
R78,119.7125,-119.515,0.0,top
R79,119.7125,-122.465,0.0,top
R8,103.4925,-111.115,0.0,top
R80,125.8825,-92.875,0.0,top
R81,125.8825,-95.385,0.0,top
R82,125.8825,-97.895,0.0,top
R83,125.8825,-100.405,0.0,top
R84,125.8825,-102.915,0.0,top
R85,125.8825,-105.425,0.0,top
R86,86.1125,-101.335,0.0,top
R87,86.1125,-106.225,0.0,top
R88,86.1125,-111.115,0.0,top
R89,86.1125,-116.005,0.0,top
R9,103.4925,-116.005,0.0,top
R90,86.1125,-120.895,0.0,top
R91,86.1125,-125.785,0.0,top
R92,86.1125,-130.675,0.0,top
R93,86.1125,-135.565,0.0,top
